Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60784417,Red Team Blues (Martin Hench),Cory Doctorow,"Doctorow, Cory",,"=""1250865840""","=""9781250865847""",0,4.10,Tor Books,Hardcover,224,2023,2023,,2023/05/16,currently-reading,currently-reading (#4),currently-reading,,,,1,0
42036538,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,"=""1250313198""","=""9781250313195""",4,4.23,Tor,Hardcover,448,2019,2019,,2022/04/23,,,read,,,,1,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",0,4.73,"Entangled Publishing, LLC (Red Tower Books)",Hardcover,512,2023,2023,,2023/05/07,to-read,to-read (#312),to-read,,,,0,0
40859000,"Delta-V (Delta-v, #1)",Daniel Suarez,"Suarez, Daniel",,"=""1524742414""","=""9781524742416""",0,4.16,Dutton,Hardcover,437,2019,2019,,2023/05/06,to-read,to-read (#311),to-read,,,,0,0
41795733,Range: Why Generalists Triumph in a Specialized World,David   Epstein,"Epstein, David",,"=""0735214484""","=""9780735214484""",0,4.14,Riverhead Books,Hardcover,352,2019,2019,,2023/05/04,to-read,to-read (#310),to-read,,,,0,0
59808603,The Mountain in the Sea,Ray Nayler,"Nayler, Ray",,"=""0374605955""","=""9780374605957""",0,4.06,MCD,Hardcover,456,2022,2022,,2023/04/30,to-read,to-read (#309),to-read,,,,0,0
37424706,The Art of Gathering: How We Meet and Why It Matters,Priya Parker,"Parker, Priya",,"=""1594634920""","=""9781594634925""",0,4.00,Riverhead Books,Hardcover,320,2018,2018,,2023/04/23,to-read,to-read (#308),to-read,,,,0,0
62267821,The Price of Time: The Real Story of Interest,Edward Chancellor,"Chancellor, Edward",,"=""""","=""""",0,4.22,,Kindle Edition,,2022,,,2023/03/01,to-read,to-read (#297),to-read,,,,0,0
62132219,"A River Enchanted (Elements of Cadence, #1)",Rebecca   Ross,"Ross, Rebecca",,"=""""","=""""",0,4.14,Harper Voyager,Kindle Edition,,2022,2022,2023/04/04,2023/01/31,,,read,,,,1,0
35796008,"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson,"Pearson, Mary E.",,"=""1250159016""","=""9781250159014""",0,4.19,Henry Holt and Co. (BYR),Hardcover,512,2018,2018,,2023/04/02,to-read,to-read (#307),to-read,,,,0,0
40969531,"A Winter's Promise (The Mirror Visitor, #1)",Christelle Dabos,"Dabos, Christelle",Hildegarde Serle,"=""""","=""""",0,4.06,Europa Editions,Kindle Edition,446,2018,2013,,2023/04/02,to-read,to-read (#306),to-read,,,,0,0
